,CISO,NEVP,WACM,BPAT,US
WAT,0.17596927489572792,0.007713168902913341,0.21583642669761083,0.7285421349563229,0.0838579586794008
NUC,0.09586282273070214,0.00027842505209644847,0.0,0.10316175698637221,0.2063258550869751
SUN,0.16951067528350477,0.06383087393119187,0.003886215189304962,0.0002174057871453985,0.015581390867364408
NG,0.38158075289925614,0.698841558050642,0.054084593653037666,0.08310704044913304,0.3476100156850101
WND,0.09440378689365901,0.01044639108477794,0.07260133894256612,0.06527421730523218,0.0729712243909172
COL,0.0006394233810452858,0.10740873899589379,0.6535914255174804,0.0,0.23871260491269547
OIL,0.003934385038324138,0.0002788097770130475,0.0,0.0,0.008185683019497599
BIO,0.03085235286602935,0.0,0.0,0.0,0.0012072257418838542
GEO,0.046278529299040486,0.0,0.0,0.0,0.0018108386128256428
OTH,0.0009679967127107469,0.11120203420547156,0.0,0.019697444515794173,0.023737203003429796
